Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
462.06250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Extra 2  Talent coordination ,Talent Coord,,DMR,BM,Business
463.35000,468.35000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 15  Rest Association,Rest Assoc,432 DPL,FM,RM,Business
463.40000,468.40000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 13  Stores  Retail,Retail,351 DPL,FM,RM,Business
463.45000,468.45000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 2  Player Security Slot 1 Group 12,Player Sec,CC 1|TG *|SL *,DMR,RM,Security
463.60000,468.60000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 14  Sports Services,Sports Svcs,071 DPL,FM,RM,Business
463.61250,0.00000,,Sports StadiumsArenas Wells Fargo Center,Aramark Food Service  Club Box Level,Food Service,,DMR,BM,Business
463.73750,468.73750,WPKF287,Sports StadiumsArenas Wells Fargo Center,Operations,Operations,,DMR,RM,Business
463.83750,468.83750,WPYC747,Sports StadiumsArenas Lincoln Financial Field,The Linc ,The Linc,332 DPL,FM,RM,Business
463.86250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Arenavision techs F1,AV Techs 1,,DMR,BM,Business
463.90000,468.90000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Security  Command Center,Security,,DMR,RM,Security
463.98750,0.00000,,Sports StadiumsArenas Wells Fargo Center,Aramark Food Service  Holts  Victors,Food Service,,DMR,BM,Business
464.01250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Building Services  Maintenance,Bldg Maint,,DMR,BM,Business
464.02500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 4  VIP Parking,VIP Parking,065 DPL,FM,M,Business
464.08750,469.08750,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Security Ch 3  Repeater Primary,Security 3,,FM,RM,Security
464.13750,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Public Relations  76ers Operations Management,Public Relat,,DMR,BM,Business
464.18750,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,VIP  Flyers,VIP / Flyers,,DMR,BM,Business
464.72500,469.72500,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 7  Medical,Medical,229.1 PL,FM,RM,Business
464.75000,469.75000,,Sports StadiumsArenas Lincoln Financial Field,Security New 2010,Security,233.6 PL,FM,RM,Security
464.76250,0.00000,,Sports StadiumsArenas Wells Fargo Center,Parking  Outside Security,Parking/Sec,,DMR,RM,Business
465.73750,0.00000,,Sports StadiumsArenas Wells Fargo Center,Arenavision ,ArenaVision,,DMR,BM,Business
466.02500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 8  AudioVideo,Audio/Video,,DMR,M,Business
466.07500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 16  Trainers,Trainers,,FM,M,Business
466.07500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 10  Swoop,Swoop,,FM,M,Business
466.27500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 9  Parking,Parking,,DMR,M,Business
466.32500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 10  Upper Concourse and Ramp Security,UC/Ramp Sec,,DMR,M,Security
466.42500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 11  Bullpen Security,Bullpen Sec,,DMR,M,Security
466.57500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 12  Premium Services,Premium Svcs,,DMR,M,Business
466.71250,0.00000,,Sports StadiumsArenas Citizens Bank Park,Comcast Sportsnet,Sportsnet,,FM,M,Business
466.76250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Operations Event Coordination,Event Coord,,DMR,RM,Business
466.86250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Operations Event Coordination,Event Coord,,DMR,RM,Business
466.97500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 13  Switch Over,Ch 13 T/A,,DMR,M,Business
467.66250,0.00000,,Sports StadiumsArenas Wells Fargo Center,Flyers,Flyers,,FM,M,Business
468.30000,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 14  Switch Over,Ch 14 T/A,,DMR,M,Business
468.42500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 15  Switch Over,Ch 15 T/A,,DMR,M,Business
468.60000,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 8  AudioVideo,Audio/Video,,FM,M,Business
468.70000,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Emergency Simplex,Emergency,,DMR,M,Business
468.90000,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Security  Command Center Direct,Security,,DMR,BM,Security
469.02500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 5  Cheerleaders,Cheerleaders,,FM,M,Business
469.08750,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Parking Ch 2  Scalper Patrol,Parking 2,,FM,BM,Business
476.05000,0.00000,,Sports StadiumsArenas Wells Fargo Center,Cameramen,Cameramen,,FM,RM,Business
